# data refs from sub_180388170 @ 0x180388170
# addr            name                  f32                       f64
0x0018098B9A8  aLowCutSw               2.0958538844076313e-19    2.4413303807357244e-152
0x0018098B9B8  aDryGain                2.112892771050458e-19     7.339361324681637e+223
0x0018098B9C8  aFlangerCv              1.7441255440993705e+28    2.1952712426179475e-152
0x0018098B9D8  aFlangerLfoSync         1.7441255440993705e+28    2.1952712426179475e-152
0x0018098B9F0  aLfoStPhase             1.7556841293013242e-19    1.7631889194273217e+78
0x0018098BA00  aLfoStOfst              1.7556841293013242e-19    2.690412779887881e+73
0x0018098BA10  aRevDpmPredly           2.0870534581718914e-19    1.7565012677025772e-152
0x0018098BA20  aRevEcfOn               2.0870534581718914e-19    1.3358051462752993e-152
0x0018098BA30  aRevEcfDensity          2.0870534581718914e-19    1.3358051462752993e-152
0x0018098BA40  aRevEcfLevel            2.0870534581718914e-19    1.3358051462752993e-152
0x0018098BA50  aRevEcfDirLev           2.0870534581718914e-19    1.3358051462752993e-152
0x0018098BA60  aRevEcfGlbLev           2.0870534581718914e-19    1.3358051462752993e-152
0x0018098BA70  aRevEcfMute             2.0870534581718914e-19    1.3358051462752993e-152
0x0018098BA80  aRevEcfInAtt            2.0870534581718914e-19    1.3358051462752993e-152
0x0018098BA90  aRevEcfDepth            2.0870534581718914e-19    1.3358051462752993e-152
0x0018098BAA0  aRevEcfRate             2.0870534581718914e-19    1.3358051462752993e-152
0x0018098BAB0  aRevEcfHpfC0            2.0870534581718914e-19    1.3358051462752993e-152
0x0018098BAC0  aRevEcfHpfA0            2.0870534581718914e-19    1.3358051462752993e-152
0x0018098BAD0  aRevEcfHpfB0            2.0870534581718914e-19    1.3358051462752993e-152
0x0018098BAE0  aRevEcfLpfC0            2.0870534581718914e-19    1.3358051462752993e-152
0x0018098BAF0  aRevEcfLpfA0            2.0870534581718914e-19    1.3358051462752993e-152
0x0018098BB00  aRevEcfLpfA1            2.0870534581718914e-19    1.3358051462752993e-152
0x0018098BB10  aRevEcfLpfB0            2.0870534581718914e-19    1.3358051462752993e-152
0x0018098BB20  aRevEcfLpfB1            2.0870534581718914e-19    1.3358051462752993e-152
